id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,field:arctos specimen record,field:bold id,field:bugguide.net
33448497,2019/09/25 10:39 AM AKDT,2019-09-25,2019-09-25 18:39:00 UTC,Alaska,46255,mbowser,2019-09-26 20:41:05 UTC,2022-05-25 19:31:44 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/33448497,https://inaturalist-open-data.s3.amazonaws.com/photos/52535121/medium.jpeg,,,,0,0,FALSE,,Vogel Lake,60.98696667,-150.4322417,,,,,,,,FALSE,,,Freshwater Jawless Leeches,Glossiphoniidae,Freshwater Jawless Leeches,Animalia,128529,Animalia,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,,,https://arctos.database.museum/guid/KNWR:Inv:54,,
33448890,2019/09/25 2:05 PM AKDT,2019-09-25,2019-09-25 22:05:00 UTC,Alaska,46255,mbowser,2019-09-26 20:48:28 UTC,2022-05-25 19:31:08 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/33448890,https://inaturalist-open-data.s3.amazonaws.com/photos/52535745/medium.jpeg,,,,0,0,FALSE,,North Vogel Lake,60.99862167,-150.41508,,,,,,,open,FALSE,,,Arctic Fingernailclam,Sphaerium nitidum,Arctic Fingernailclam,Mollusca,231325,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Sphaerium,Sphaerium nitidum,https://arctos.database.museum/guid/KNWR:Inv:53,,
33453425,2019/09/25 10:43 AM AKDT,2019-09-25,2019-09-25 18:43:00 UTC,Alaska,46255,mbowser,2019-09-26 22:08:01 UTC,2022-05-25 19:30:27 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/33453425,https://inaturalist-open-data.s3.amazonaws.com/photos/52543259/medium.jpeg,,,,0,0,FALSE,,Vogel Lake,60.98527833,-150.4298567,,,,,,,open,FALSE,,,Big-eared Radix,Radix auricularia,Big-eared Radix,Mollusca,129204,Animalia,Mollusca,Gastropoda,,Lymnaeidae,Radix,Radix auricularia,,,
33453518,2019/09/25 10:44 AM AKDT,2019-09-25,2019-09-25 18:44:00 UTC,Alaska,46255,mbowser,2019-09-26 22:09:45 UTC,2022-05-25 19:29:56 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/33453518,https://inaturalist-open-data.s3.amazonaws.com/photos/52543374/medium.jpeg,,,"On underside of floating, rotting leaf of Potamogeton natans.",0,0,FALSE,,Vogel Lake,60.98525,-150.4283,,,,,,,,FALSE,,,Bryozoans,Bryozoa,Bryozoans,Animalia,68104,Animalia,Bryozoa,,,,,,,,
33455450,2019/09/25 11:03 AM AKDT,2019-09-25,2019-09-25 19:03:00 UTC,Alaska,46255,mbowser,2019-09-26 22:47:29 UTC,2022-05-25 19:29:13 UTC,research,CC-BY,https://www.inaturalist.org/observations/33455450,https://inaturalist-open-data.s3.amazonaws.com/photos/52546583/medium.jpeg,,,,2,0,FALSE,,Vogel Lake,60.990025,-150.4295883,,,,,,,open,FALSE,,,Yukon Floater,Beringiana beringiana,Yukon Floater,Mollusca,1144088,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Beringiana,Beringiana beringiana,,,
33455477,2019/09/25 10:57 AM AKDT,2019-09-25,2019-09-25 18:57:00 UTC,Alaska,46255,mbowser,2019-09-26 22:48:05 UTC,2022-05-25 19:28:44 UTC,research,CC-BY,https://www.inaturalist.org/observations/33455477,https://inaturalist-open-data.s3.amazonaws.com/photos/52546650/medium.jpeg,,,,1,0,FALSE,,Vogel Lake,60.98934,-150.4222133,,,,,,,,FALSE,,,Lacustrine Scud,Gammarus lacustris,Lacustrine Scud,Animalia,220287,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus lacustris,,,
56790035,2020/08/14 5:54 PM AKDT,2020-08-14,2020-08-15 01:54:00 UTC,Alaska,46255,mbowser,2020-08-17 23:06:23 UTC,2022-05-25 19:28:13 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/56790035,https://inaturalist-open-data.s3.amazonaws.com/photos/90525183/medium.jpeg,,,,0,1,FALSE,,Vogel Lake,60.98865333,-150.4344933,,,,,,,,FALSE,,,Animals,Animalia,Animals,Animalia,1,Animalia,,,,,,,,,
56859573,2020/08/14 6:00 PM AKDT,2020-08-14,2020-08-15 02:00:00 UTC,Alaska,46255,mbowser,2020-08-18 18:05:05 UTC,2022-05-25 19:27:39 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/56859573,https://inaturalist-open-data.s3.amazonaws.com/photos/90642633/medium.jpeg,,,,0,0,FALSE,,Vogel Lake,60.98857167,-150.43442,,,,,,,,FALSE,,,Gyro Snails,Gyraulus,Gyro Snails,Mollusca,88680,Animalia,Mollusca,Gastropoda,,Planorbidae,Gyraulus,,,,
56860365,2020/08/14 6:02 PM AKDT,2020-08-14,2020-08-15 02:02:00 UTC,Alaska,46255,mbowser,2020-08-18 18:12:44 UTC,2022-05-25 19:27:09 UTC,research,CC-BY,https://www.inaturalist.org/observations/56860365,https://inaturalist-open-data.s3.amazonaws.com/photos/90643830/medium.jpeg,,,,1,0,FALSE,,Vogel Lake,60.98866333,-150.43425,,,,,,,open,FALSE,,,Big-eared Radix,Radix auricularia,Big-eared Radix,Mollusca,129204,Animalia,Mollusca,Gastropoda,,Lymnaeidae,Radix,Radix auricularia,,,
56860767,2020/08/14 6:05 PM AKDT,2020-08-14,2020-08-15 02:05:00 UTC,Alaska,46255,mbowser,2020-08-18 18:16:59 UTC,2022-05-25 19:26:37 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/56860767,https://inaturalist-open-data.s3.amazonaws.com/photos/90644654/medium.jpeg,,,,0,0,FALSE,,Vogel Lake,60.98860167,-150.4344833,,,,,,,,FALSE,,,Haemopidae,Haemopidae,,Animalia,171502,Animalia,Annelida,Clitellata,Arhynchobdellida,Haemopidae,,,https://arctos.database.museum/guid/KNWR:Inv:76,,
