scientificName
"*Coenagrion interrogatum* (Hagen in Selys, 1876)"
"*Donacia hirticollis* Kirby, 1837"
"*Sisyra nigra* (Retzius, 1783)"
"*Daphnia galeata mendotae* Birge, 1918"
"*Sphaerium nitidum* Westerlund, 1876"
"*Gyraulus deflectus* (Say, 1824)"
"*Planorbella trivolvis* (Say, 1817)"
"*Glossiphonia elegans* (Verrill, 1872) Verrill, 1872"
"*Arcteonais lomondi* Martin, 1907"
"*Chaetogaster diastrophus* (Gruithuisen, 1828)"
"*Holopedium gibberum* Zaddach, 1855"
"*Leptodora kindtii* (Focke, 1844)"
"*Huitfeldtia rectipes* Thor, 1898"
"*Unionicola crassipes* (O.F.Müller, 1776)"
"*Haliplus immaculicollis* Harris, 1828"
"*Chrysops excitans* Walker, 1850"
"*Leptodiaptomus tyrrelli* (Poppe, 1888)"
"*Cyclops scutifer* G. O. Sars, 1863"
"*Psectrocladius simulans* (Johannsen, 1937)"
"*Psylla floccosa* Patch, 1909"
"*Haliplus leechi* Wallis, 1933"
