Collection or Publication,Source
Albuquerque [MSBA],GBIF
Anderson & Peck (1985),literature
Backlund & Marrone (1997),literature
Berkeley [EMEC],"DSS, GBIF"
"Boulder [UCM, UCMC]",GBIF
Budapest [HNHM],DSS
Cambridge [MCZC],DSS
Chicago [CHAS],GBIF
Chicago [FMNH],"DSS, GBIF"
Cincinnati [CMC],GBIF
Cochrane [CEIC],DSS
College Station [TAMU],"DSS, GBIF"
Columbus [OSUC],DSS
Denver [DMNS],GBIF
Ebina -Nishikawa private coll [MNC],DSS
Edinburgh [RSME],DSS
Fairbanks [DSSC],DSS
Fairbanks [UAM],GBIF
"Flagstaff [NAUF, CPMAB]",GBIF
Fort Collins [CSUC],GBIF
Frankfurt [SMFD],DSS
Hatch (1945),Literature
iNaturalist,GBIF
Jalisco [CZUG],GBIF
Las Cruces [NMSU],GBIF
"Los Angeles [LACM, IP]",GBIF
"Los Angeles [LACM, RLB]",GBIF
Los Angeles [LACM],DSS
Logan [EMUS],DSS
New Haven [PMNH],DSS
New York [AMNH],DSS
"Norman [OMNH, RINVRT]",GBIF
Ohio [OSUC],GBIF
Peck & Anderson (1985),Literature
Peck & Kaulbars (1987),Literature
Philadelphia [ANSP],DSS
Provo (BYUC),DSS
San Diego [SDNHM],GBIF
Santa Barbara [SBMNH],GBIF
"Santa Barbara [UCSB, IZC]",GBIF
St. Paul [UMSP],DSS
"Tempe [ASU, ASUHIC]",GBIF
"Tempe [ASU, NEON-IV]",GBIF
University Park [PSUC],GBIF
Vancouver [UBCZ],GBIF
Washington D.C. [USNM],"DSS, GBIF"
Wien [Wolfgang Barries Private Coll.],DSS
