Pollinators,<em>Calypso</em>,<em>Coeloglossum</em>,<em>Corallorhiza</em>,<em>Cypripedium</em>,<em>Goodyera</em>,<em>Malaxis</em>,<em>Neottia</em>,<em>Piperia</em>,<em>Platanthera</em>
Diptera:,,,,,,,,,
Bibionidae,,1,,,,,,,
Cucilidae,,,,,,,,,2***
Dryomyzidae,,,,,,,1***,,
Empididae,,,1,,,,,,1
Scariadae ,,,,, ,1,1*,,
Syrphidae,,,,,,,,,
Hymenoptera:,,,,,,,,,
Apidae,1*,,1,1*,1,,,,1*
Halictidae,,,,1*,,,,,
Andrenidae,,,,1*,,,,,
Lepidoptera:,,,,,,,,,
Geometridae,,,,,,,,1*,2***
Pieridae,,,,,,,,,1
Noctuidae,,,,,,,,,5***
Sphingidae,,,,,,,,,1
