"year","kingdom","phylum","class","order","family","species","unranked"
2011,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae",1,0
2011,"Animalia","Arthropoda","Insecta","Coleoptera","Elateridae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Anisopodidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Anthomyiidae",12,1
2011,"Animalia","Arthropoda","Insecta","Diptera","Bibionidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Calliphoridae",2,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae",0,1
2011,"Animalia","Arthropoda","Insecta","Diptera","Empididae",1,2
2011,"Animalia","Arthropoda","Insecta","Diptera","Fanniidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Lauxaniidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Limoniidae",1,1
2011,"Animalia","Arthropoda","Insecta","Diptera","Lonchaeidae",0,2
2011,"Animalia","Arthropoda","Insecta","Diptera","Muscidae",20,1
2011,"Animalia","Arthropoda","Insecta","Diptera","Mycetophilidae",0,1
2011,"Animalia","Arthropoda","Insecta","Diptera","Phoridae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Pipunculidae",2,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Psilidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Sarcophagidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Scathophagidae",3,1
2011,"Animalia","Arthropoda","Insecta","Diptera","Sciaridae",2,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Sciomyzidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Sepsidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae",1,0
2011,"Animalia","Arthropoda","Insecta","Diptera","Syrphidae",6,3
2011,"Animalia","Arthropoda","Insecta","Diptera","Therevidae",0,1
2011,"Animalia","Arthropoda","Insecta","Diptera","Tipulidae",2,0
2011,"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae",0,2
2011,"Animalia","Arthropoda","Insecta","Hemiptera","Miridae",1,0
2011,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae",1,1
2011,"Animalia","Arthropoda","Insecta","Hymenoptera","Tenthredinidae",1,1
2011,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae",1,0
2011,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae",1,0
2011,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae",1,0
2011,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae",1,0
2011,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae",1,0
2022,"Animalia","Annelida","Clitellata","Opisthopora","Lumbricidae",1,0
2022,"Animalia","Arthropoda","Arachnida","Araneae","Agelenidae",1,0
2022,"Animalia","Arthropoda","Arachnida","Araneae","Gnaphosidae",1,0
2022,"Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",4,0
2022,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae",2,0
2022,"Animalia","Arthropoda","Arachnida","Araneae","Mimetidae",1,0
2022,"Animalia","Arthropoda","Arachnida","Araneae","Philodromidae",1,0
2022,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae",1,0
2022,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Humerobatidae",2,0
2022,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae",0,1
2022,"Animalia","Arthropoda","Collembola","Collembola","Dicyrtomidae",1,0
2022,"Animalia","Arthropoda","Collembola","Collembola","Entomobryidae",1,0
2022,"Animalia","Arthropoda","Collembola","Collembola","Hypogastruridae",1,0
2022,"Animalia","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",1,1
2022,"Animalia","Arthropoda","Collembola","Symphypleona","Dicyrtomidae",0,1
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Byrrhidae",1,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae",2,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae",2,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae",1,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Cryptophagidae",2,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae",1,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Elateridae",1,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Latridiidae",3,0
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae",1,1
2022,"Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae",8,2
2022,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae",1,1
2022,"Animalia","Arthropoda","Insecta","Diptera","Anthomyiidae",10,6
2022,"Animalia","Arthropoda","Insecta","Diptera","Anthomyzidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Asilidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Bibionidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Calliphoridae",2,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Ceratopogonidae",0,1
2022,"Animalia","Arthropoda","Insecta","Diptera","Chironomidae",4,4
2022,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae",4,3
2022,"Animalia","Arthropoda","Insecta","Diptera","Culicidae",1,1
2022,"Animalia","Arthropoda","Insecta","Diptera","Dolichopodidae",6,5
2022,"Animalia","Arthropoda","Insecta","Diptera","Empididae",2,2
2022,"Animalia","Arthropoda","Insecta","Diptera","Ephydridae",2,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Fanniidae",2,2
2022,"Animalia","Arthropoda","Insecta","Diptera","Heleomyzidae",2,1
2022,"Animalia","Arthropoda","Insecta","Diptera","Hybotidae",2,4
2022,"Animalia","Arthropoda","Insecta","Diptera","Lauxaniidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Muscidae",27,6
2022,"Animalia","Arthropoda","Insecta","Diptera","Mycetophilidae",6,3
2022,"Animalia","Arthropoda","Insecta","Diptera","Phoridae",8,8
2022,"Animalia","Arthropoda","Insecta","Diptera","Pipunculidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Rhagionidae",0,1
2022,"Animalia","Arthropoda","Insecta","Diptera","Sarcophagidae",2,1
2022,"Animalia","Arthropoda","Insecta","Diptera","Scathophagidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Scatopsidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Sciaridae",2,3
2022,"Animalia","Arthropoda","Insecta","Diptera","Sepsidae",1,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Simuliidae",1,4
2022,"Animalia","Arthropoda","Insecta","Diptera","Sphaeroceridae",1,1
2022,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae",2,0
2022,"Animalia","Arthropoda","Insecta","Diptera","Syrphidae",3,2
2022,"Animalia","Arthropoda","Insecta","Diptera","Tachinidae",1,1
2022,"Animalia","Arthropoda","Insecta","Ephemeroptera","Ameletidae",1,0
2022,"Animalia","Arthropoda","Insecta","Hemiptera","Aphalaridae",1,0
2022,"Animalia","Arthropoda","Insecta","Hemiptera","Aphididae",3,0
2022,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae",9,6
2022,"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae",1,0
2022,"Animalia","Arthropoda","Insecta","Hemiptera","Miridae",1,3
2022,"Animalia","Arthropoda","Insecta","Hemiptera","Rhyparochromidae",1,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae",1,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae",8,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae",1,1
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Crabronidae",2,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Figitidae",0,1
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",6,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae",1,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae",5,8
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae",2,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Tenthredinidae",1,0
2022,"Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae",1,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Coleophoridae",1,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae",1,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae",1,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Momphidae",2,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae",1,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae",1,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae",1,0
2022,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae",1,0
2022,"Animalia","Arthropoda","Insecta","Orthoptera","Tetrigidae",1,0
2022,"Animalia","Arthropoda","Insecta","Psocodea","Caeciliusidae",1,0
2022,"Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae",2,0
2022,"Animalia","Arthropoda","Insecta","Trichoptera","Limnephilidae",1,0
2022,"Animalia","Chordata","Aves","Galliformes","Phasianidae",1,0
2022,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae",1,0
2022,"Animalia","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae",1,0
2022,"Animalia","Mollusca","Gastropoda","Stylommatophora","Arionidae",1,0
2022,"Animalia","Mollusca","Gastropoda","Stylommatophora","Vertiginidae",1,0
2022,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae",1,0
2022,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae",2,0
